# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	246674
#@/user_id	b6ca52f1-d1be-4cc2-9d07-aa8b3716d1d6
a 	吖	c=1 d=3.14571e-306 t=246674
mei tuan 	美團	c=6 d=1.99501 t=244289
mei wan 	沒完	c=2 d=4.3559e-18 t=246674
mei wan cheng 	沒完成	c=1 d=1 t=236287
mei wang 	沒忘	c=2 d=1.5013e-45 t=246674
mei wang 	沒網	c=1 d=7.40477e-260 t=246674
mei wang xia 	沒往下	c=1 d=1 t=213503
mei wei 	每位	c=1 d=2.80873e-179 t=246674
mei wei 	沒味	c=1 d=1.79648e-186 t=246674
mei wei 	美味	c=1 d=1 t=215686
mei wei hu 	沒維護	c=1 d=1.75707e-131 t=246674
mei wei zhi 	沒位置	c=2 d=0.0131019 t=246674
mei wen ti 	沒問題	c=30 d=1.04671e-37 t=246674
mei wo 	沒我	c=2 d=2.8567e-143 t=246674
mei xi 	沒戲	c=1 d=5.01751e-152 t=246674
mei xi tou 	沒洗頭	c=1 d=1.17785e-249 t=246674
mei xia yu 	沒下雨	c=1 d=1.22162e-149 t=246674
mei xiang 	沒想	c=4 d=1.3645e-68 t=246674
mei xiang dao 	沒想到	c=9 d=2.01061e-11 t=246674
mei xiang guo 	沒想過	c=5 d=1 t=244335
mei xiang hao 	沒想好	c=1 d=6.60057e-231 t=246674
mei xiao guo 	沒效果	c=1 d=1 t=177473
mei xie 	沒寫	c=17 d=0.0235177 t=246674
mei xie dui 	沒寫對	c=1 d=2.80989e-272 t=246674
mei xie guo 	沒寫過	c=1 d=1 t=203637
mei xing qu 	沒興趣	c=3 d=1.67371e-118 t=246674
mei xiu 	美秀	c=0 d=8.89613e-67 t=246674
mei xiu jian 	美秀建	c=1 d=8.94072e-66 t=246674
mei xiu jian wan 	沒修建完	c=1 d=8.98554e-66 t=246674
mei xu qiu 	沒需求	c=1 d=1.08588e-175 t=246674
mei xue 	沒學	c=3 d=6.63989e-07 t=246674
mei xue 	美學	c=1 d=2.32525e-280 t=246674
mei xue guo 	沒學過	c=3 d=4.8196e-61 t=246674
mei yan 	美顏	c=1 d=1.44584e-249 t=246674
mei yan jiu 	沒研究	c=1 d=1.34437e-99 t=246674
mei yan zheng 	沒驗證	c=1 d=1.17189e-160 t=246674
mei yang 	每樣	c=1 d=7.02613e-172 t=246674
mei yao 	沒要	c=2 d=0.000833397 t=246674
mei yi 	每一	c=1 d=5.48572e-85 t=246674
mei yi bu fen shu ju 	每一部分數據	c=1 d=1 t=144011
mei yi ceng 	每一層	c=1 d=1 t=226434
mei yi ci 	每一次	c=3 d=9.75682e-123 t=246674
mei yi ge 	每一個	c=22 d=0.00117088 t=246674
mei yi ge 	沒一個	c=1 d=6.00628e-268 t=246674
mei yi hang 	每一行	c=1 d=1 t=208332
mei yi lun 	每一輪	c=1 d=1.56768e-54 t=246674
mei yi qian 	沒以前	c=1 d=1 t=180775
mei yi si 	沒意思	c=1 d=1 t=234379
mei yi tian 	每一天	c=1 d=3.85196e-189 t=246674
mei yi tiao 	每一條	c=2 d=2.65173e-120 t=246674
mei yi wei 	每一位	c=1 d=1 t=154577
mei yi yi 	沒意義	c=2 d=1.03675e-101 t=246674
mei yi zhong 	每一種	c=2 d=1.74539e-82 t=246674
mei ying xiang 	沒影響	c=1 d=1.17022e-202 t=246674
mei yong 	沒用	c=33 d=9.30778e-10 t=246674
mei yong dao 	沒用到	c=1 d=1.79182e-38 t=246674
mei yong gang o 	沒用剛哦	c=1 d=1 t=175607
mei yong guo 	沒用過	c=6 d=4.82057e-34 t=246674
mei you 	沒有	c=768 d=1.23367 t=246674
mei you ban fa 	沒有辦法	c=3 d=4.90161e-83 t=246674
mei you bi yao 	沒有必要	c=1 d=0.000220415 t=246674
mei you dan du 	沒有單獨	c=1 d=7.57771e-120 t=246674
mei you de 	沒有的	c=1 d=5.87471e-184 t=246674
mei you guan xi 	沒有關係	c=0 d=9.05432e-186 t=246674
mei you gui ding 	沒有規定	c=1 d=2.80527e-47 t=246674
mei you hen duo 	沒有很多	c=1 d=1 t=149057
mei you ji xu 	沒有繼續	c=1 d=1 t=195537
mei you jin xing guo 	沒有進行過	c=1 d=5.69642e-145 t=246674
mei you ke yi 	沒有可以	c=1 d=1 t=225170
mei you kou 	沒有釦	c=2 d=2.60282e-188 t=246674
mei you lai de ji chu li de yuan su 	沒有來得及處理的元素	c=1 d=7.66398e-18 t=246674
mei you le 	沒有了	c=1 d=1 t=187692
mei you mei you 	沒有沒有	c=4 d=1.22357e-109 t=246674
mei you nei cun 	沒有內存	c=1 d=1.38946e-46 t=246674
mei you ou yuan 	沒有歐元	c=1 d=3.80666e-285 t=246674
mei you pi lou 	沒有紕漏	c=1 d=1 t=193269
mei you qian 	沒有錢	c=1 d=1 t=216514
mei you que sheng 	沒有缺省	c=1 d=1 t=157685
mei you ren he 	沒有任何	c=1 d=1 t=144178
mei you sao dao 	沒有掃到	c=1 d=1 t=232168
mei you shen me 	沒有什麼	c=1 d=1 t=228203
mei you shou dao 	沒有收到	c=1 d=1 t=241374
mei you shuo 	沒有說	c=1 d=1 t=245106
mei you ti 	沒有提	c=1 d=5.88567e-59 t=246674
mei you tong bu shu ju fang wen 	沒有同步數據訪問	c=1 d=1 t=143583
mei you tui lu 	沒有退路	c=1 d=4.16937e-150 t=246674
mei you wen ti 	沒有問題	c=1 d=1 t=143630
mei you xian 	沒有線	c=1 d=1 t=179028
mei you xiao shu 	沒有小數	c=1 d=1 t=141587
mei you xie dai 	沒有攜帶	c=1 d=1 t=150870
mei you yong 	没有用	c=2 d=0.0561348 t=246674
mei you yong chu 	沒有用處	c=1 d=1.71971e-231 t=246674
mei you zhi 	沒有值	c=1 d=1 t=143753
mei you zhi ding 	沒有指定	c=1 d=9.39531e-120 t=246674
mei you zi ji 	沒有自己	c=1 d=1 t=201970
mei you zu gou 	沒有足夠	c=1 d=1 t=147344
mei yu dao 	沒遇到	c=2 d=1 t=240516
mei yu dao guo 	沒遇到過	c=1 d=1.58091e-94 t=246674
mei yuan 	美元	c=6 d=6.13819e-112 t=246674
mei yun xing 	沒運行	c=1 d=1 t=191875
mei za 	沒咋	c=5 d=1.80491e-06 t=246674
mei za ting 	沒咋聽	c=1 d=1.92667e-215 t=246674
mei zai 	沒在	c=11 d=1.47789e-66 t=246674
mei zai yi 	沒在意	c=1 d=1.9788e-88 t=246674
mei zen me 	沒怎麼	c=2 d=1.67782e-235 t=246674
mei zhang 	每張	c=2 d=1.63816e-42 t=246674
mei zhang 	每章	c=1 d=1.21831e-264 t=246674
mei zhao 	沒找	c=2 d=1.01769 t=187646
mei zhao dao 	沒找到	c=7 d=7.01987e-44 t=246674
mei zhe ge 	沒這個	c=1 d=1.54655e-159 t=246674
mei zhe me 	沒這麼	c=3 d=1.19222e-39 t=246674
mei zhe me duo 	沒這麼多	c=1 d=2.98831e-261 t=246674
mei zhi 	每支	c=1 d=6.30839e-169 t=246674
mei zhi ban 	沒值班	c=1 d=4.48253e-296 t=246674
mei zhong 	每種	c=3 d=1.12133e-73 t=246674
mei zhou 	每週	c=2 d=1.15216e-158 t=246674
mei zhu shi 	沒註釋	c=1 d=2.20543e-99 t=246674
mei zhu yi 	沒注意	c=3 d=4.56915e-139 t=246674
mei zhu yi kan 	沒注意看	c=2 d=1.33044e-06 t=246674
mei zhuan yi 	沒轉移	c=1 d=0.000283018 t=246674
mei zhuang 	沒裝	c=1 d=1.03842e-208 t=246674
mei zi 	妹子	c=2 d=5.5138e-144 t=246674
mei zou 	沒走	c=1 d=2.11549e-22 t=246674
mei zui 	沒醉	c=1 d=2.42703e-49 t=246674
mei zuo 	沒做	c=8 d=1.25616e-36 t=246674
mei zuo hao 	沒做好	c=2 d=3.64122e-86 t=246674
mei zuo yong 	沒作用	c=1 d=1.76515e-38 t=246674
men 	們	c=122 d=1.71151e-07 t=246674
men 	燜	c=2 d=1.18956e-189 t=246674
men 	門	c=11 d=1.18543e-60 t=246674
men de 	門的	c=1 d=3.05937e-214 t=246674
men dian lu 	門電路	c=1 d=1.46429e-163 t=246674
men jiang 	門將	c=0 d=0.1 t=217324
men kan 	門檻	c=3 d=3.93576e-09 t=246674
men kou 	門口	c=2 d=3.11617e-107 t=246674
men lu 	門路	c=1 d=4.99265e-123 t=246674
men wai 	門外	c=1 d=4.35622e-107 t=246674
meng 	夢	c=3 d=1 t=214753
meng 	孟	c=2 d=1 t=202087
meng 	懵	c=0 d=0.1 t=225134
meng 	猛	c=3 d=1.43886e-104 t=246674
meng ka 	萌卡	c=1 d=1 t=172952
meng le 	猛了	c=1 d=5.0681e-123 t=246674
meng mei yi qiu 	梦寐以求	c=1 d=2.8205e-140 t=246674
meng nan 	猛男	c=5 d=2.25159e-251 t=246674
meng xiang 	夢想	c=3 d=1 t=229761
meng xin 	萌信	c=1 d=2.17424e-196 t=246674
mi 	密	c=6 d=2.36517e-10 t=246674
mi 	彌	c=1 d=1.35175e-134 t=246674
mi 	米	c=0 d=0.1 t=165745
mi ai 	密愛	c=1 d=1 t=166380
mi bu 	彌補	c=2 d=1 t=197072
mi du 	密度	c=0 d=2.34196e-42 t=246674
mi feng 	密封	c=1 d=2.65319e-244 t=246674
mi feng 	蜜蜂	c=6 d=3.27294e-180 t=246674
mi ha 	米哈	c=1 d=1.09501 t=200242
mi ha you 	米哈遊	c=6 d=2.79763 t=214453
mi huo 	迷惑	c=6 d=0.00296761 t=246674
mi huo ren 	迷惑人	c=1 d=2.62169e-133 t=246674
mi ji 	密集	c=2 d=2.56318e-134 t=246674
mi la 	米拉	c=2 d=4.20878e-73 t=246674
mi lu 	迷路	c=1 d=2.01268e-170 t=246674
mi ma 	密碼	c=285 d=0.00400999 t=246674
mi ma cuo wu 	密碼錯誤	c=1 d=5.12531e-108 t=246674
mi ma ha xi zhi 	密碼哈希值	c=1 d=1 t=168351
mi ma qiong ju 	密碼窮舉	c=1 d=1 t=174671
mi ma zi dian 	密碼字典	c=1 d=1 t=217187
mi mang 	迷茫	c=4 d=8.61476e-129 t=246674
mi mi 	祕密	c=2 d=3.10402e-208 t=246674
mi qie 	密切	c=1 d=1 t=199910
mi shi fang xiang 	迷失方向	c=1 d=1 t=213510
mi shu 	秘書	c=1 d=1.19013e-224 t=246674
mi wen 	密文	c=2 d=9.65943e-152 t=246674
mi weng 	彌翁	c=1 d=2.65958e-96 t=246674
mi yao 	密鑰	c=32 d=1.12107e-21 t=246674
mi yao 	祕藥	c=3 d=2.31062e-235 t=246674
mi yao bian hao 	密鑰編號	c=1 d=1 t=152016
mi yao guan li 	密鑰管理	c=1 d=1 t=182406
mi yu 	密语	c=0 d=3.41555e-99 t=246674
mi yu 	謎語	c=1 d=3.46717e-98 t=246674
mi yu ren 	密语人	c=1 d=3.43267e-98 t=246674
mian 	免	c=1 d=4.83043e-59 t=246674
mian 	麪	c=39 d=0.560717 t=246674
mian ban 	面板	c=3 d=3.70089e-42 t=246674
mian ban 	面版	c=2 d=5.67169e-182 t=246674
mian bao 	麵包	c=4 d=5.77933e-21 t=246674
mian bao le 	麵包了	c=1 d=3.28743e-60 t=246674
mian bao ren 	麵包人	c=1 d=1 t=193635
mian da rao 	免打擾	c=1 d=1 t=220280
mian dui 	面對	c=1 d=1 t=239020
mian fei 	免費	c=31 d=2.83163e-11 t=246674
mian fei ban 	免費版	c=2 d=1.51521e-124 t=246674
mian fei chuan 	免費穿	c=1 d=8.16631e-294 t=246674
mian fei de 	免費的	c=1 d=1 t=188710
mian fei geng xin 	免費更新	c=1 d=2.84582e-10 t=246674
mian fei le 	免費了	c=3 d=8.23262e-154 t=246674
mian fei song 	免費送	c=1 d=1 t=180912
mian fei yong 	免費用	c=1 d=1.73827e-34 t=246674
mian fei zu 	免費組	c=1 d=4.0882e-154 t=246674
mian guan 	麪館	c=0 d=2.80509e-106 t=246674
mian huai 	緬懷	c=1 d=5.1869e-219 t=246674
mian ji 	面積	c=2 d=1.96079 t=226818
mian ji 	麪基	c=4 d=1.67918e-129 t=246674
mian jing 	麪經	c=2 d=1 t=183553
mian ju 	面具	c=1 d=1.53379e-187 t=246674
mian lin 	面臨	c=2 d=1.58569e-12 t=246674
mian qian 	面前	c=3 d=7.96875e-55 t=246674
mian qiang 	勉強	c=2 d=9.99668e-144 t=246674
mian sha 	免傻	c=1 d=1 t=173591
mian sha 	免殺	c=3 d=1 t=240143
mian shan 	綿山	c=1 d=1 t=195968
mian shang 	面上	c=1 d=1 t=243502
mian shen me 	麪什麼	c=1 d=1 t=187434
mian shi 	面試	c=70 d=0.94028 t=246674
mian shi biao xian 	面試表現	c=2 d=1.50158 t=195665
mian shi de 	面試的	c=2 d=1.5886 t=241428
mian shi guan 	面試官	c=11 d=1.0857e-07 t=246674
mian shi ke 	面試課	c=2 d=1.93707 t=195969
mian shi qi ta 	面試其他	c=1 d=1 t=195432
mian shi ti 	面試題	c=8 d=1 t=216864
mian shi tong zhi 	面試通知	c=1 d=1 t=240832
mian shi wen ti 	面試問題	c=1 d=1 t=246392
mian shi wo 	面試我	c=1 d=1 t=187441
mian shi zhi qian 	面試之前	c=1 d=1 t=195503
mian shi zhong 	面試中	c=1 d=1 t=194527
mian wan 	麪完	c=2 d=0.1 t=239844
mian xiang 	面向	c=18 d=2.95733e-21 t=246674
mian xiang dui xiang 	面向對象	c=7 d=6.08002e-147 t=246674
mian xiu 	免修	c=2 d=8.38407e-183 t=246674
mian yi 	棉衣	c=1 d=4.64513e-39 t=246674
miao 	廟	c=1 d=1 t=215759
miao 	瞄	c=0 d=5.01703e-240 t=246674
miao 	秒	c=16 d=6.16855e-11 t=246674
miao dian 	描點	c=1 d=1 t=186891
miao le 	妙乐	c=1 d=1 t=219080
miao shu 	描述	c=58 d=5.51471e-20 t=246674
miao shu bao wen 	描述報文	c=1 d=1 t=150587
miao shu cheng 	描述成	c=1 d=1.20905e-145 t=246674
miao zhun 	瞄準	c=2 d=1.00086e-208 t=246674
miao zhun jing 	瞄准鏡	c=1 d=1.08263e-81 t=246674
mie 	咩	c=1 d=1.15633e-238 t=246674
mie shi 	蔑視	c=1 d=2.40789e-191 t=246674
min 	敏	c=1 d=2.4497e-217 t=246674
min 	民	c=4 d=5.63645e-50 t=246674
min bing 	民兵	c=2 d=1.79852 t=221284
min gan 	敏感	c=23 d=4.02616e-18 t=246674
min gan dan wei 	敏感單位	c=1 d=1 t=174933
min gan ji 	敏感肌	c=1 d=1.22862e-128 t=246674
min gan mu lu 	敏感目錄	c=1 d=1 t=238859
min gan shu ju 	敏感數據	c=2 d=1.75578 t=182618
min gan xin xi 	敏感信息	c=1 d=1 t=174284
min jie 	敏捷	c=1 d=1 t=227000
min yong 	民用	c=1 d=1 t=153301
min zhong 	民衆	c=1 d=1.50356e-239 t=246674
min zhu 	民主	c=2 d=6.2207e-239 t=246674
min zu 	民族	c=3 d=1.65091e-45 t=246674
ming 	名	c=100 d=5.76498e-20 t=246674
ming 	命	c=2 d=1.22582e-13 t=246674
ming 	明	c=4 d=1.1156e-81 t=246674
ming 	銘	c=1 d=3.57835e-87 t=246674
ming 	鳴	c=1 d=1.26609e-246 t=246674
ming bai 	明白	c=14 d=1.53376e-32 t=246674
ming bai le 	明白了	c=3 d=4.79265e-142 t=246674
ming bi 	冥幣	c=1 d=9.24727e-139 t=246674
ming bo long 	冥波龍	c=1 d=2.0828e-73 t=246674
ming chang mian 	名場面	c=1 d=6.67778e-162 t=246674
ming cheng 	名稱	c=47 d=1.5714e-49 t=246674
ming cheng zhong 	名稱中	c=1 d=1 t=179226
ming ci 	名詞	c=10 d=8.7007e-40 t=246674
ming dai 	明代	c=1 d=1.75922e-116 t=246674
ming dan 	名單	c=8 d=6.06718e-34 t=246674
ming e 	名額	c=2 d=7.17556e-08 t=246674
ming gan 	明感	c=2 d=1 t=238117
ming gan 	銘感	c=1 d=1 t=181944
ming li 	名利	c=1 d=1 t=216346
ming liang 	明亮	c=5 d=1.35092e-68 t=246674
ming liao 	明瞭	c=1 d=3.88721e-61 t=246674
ming lin 	明林	c=1 d=1 t=152889
ming ling 	命令	c=253 d=0.0944202 t=246674
ming ling bao han dong 	命令包含動	c=1 d=1 t=182793
ming ling hang 	命令行	c=27 d=3.75567e-09 t=246674
ming ling zhong 	命令中	c=1 d=1 t=197939
ming mian 	明面	c=2 d=1.99501 t=146314
ming ming 	命名	c=35 d=8.34249e-16 t=246674
ming ming 	明明	c=18 d=8.4539e-25 t=246674
ming ming ge shi 	命名格式	c=1 d=5.61371e-120 t=246674
ming ming kong jian 	命名空間	c=1 d=1 t=142668
ming nian 	明年	c=10 d=1.28063e-57 t=246674
ming pai 	銘牌	c=1 d=1 t=172870
ming pian 	名片	c=1 d=3.4209e-87 t=246674
ming qi 	名氣	c=1 d=1 t=246214
ming que 	明確	c=8 d=1.23641e-26 t=246674
ming shen 	冥神	c=2 d=5.69995e-94 t=246674
ming sheng 	名聲	c=1 d=1 t=166877
ming shuo 	明說	c=3 d=3.21696e-11 t=246674
ming tian 	明天	c=124 d=1.38374e-06 t=246674
ming tian lai 	明天來	c=1 d=1.62001e-293 t=246674
ming wei 	名爲	c=7 d=3.22706e-136 t=246674
ming wen 	明文	c=26 d=1 t=219380
ming wen chuan shu 	明文傳輸	c=1 d=1 t=174828
ming wen mi ma 	明文密碼	c=5 d=2.73223 t=180644
ming xi 	明希	c=1 d=6.57729e-307 t=246674
ming xi 	明細	c=6 d=4.14525 t=161526
ming xian 	明顯	c=16 d=4.84654e-09 t=246674
ming yan 	名言	c=1 d=1.37079e-269 t=246674
ming yi 	名義	c=1 d=1 t=227027
ming yi shang 	名義上	c=1 d=3.11862e-175 t=246674
ming yu 	名譽	c=1 d=7.06404e-294 t=246674
ming zao 	明早	c=1 d=2.83716e-268 t=246674
ming zheng yan shun 	名正言顺	c=1 d=1.34587e-24 t=246674
ming zhi 	明智	c=1 d=4.06646e-297 t=246674
ming zhong 	命中	c=6 d=8.62118e-79 t=246674
ming zhu 	明珠	c=4 d=8.28517e-104 t=246674
ming zi 	名字	c=107 d=7.44815e-05 t=246674
ming zi zhi jian 	名字之間	c=1 d=1.88383e-127 t=246674
ming zu 	名族	c=1 d=1.64268e-45 t=246674
mo 	摸	c=5 d=6.67999e-19 t=246674
mo 	末	c=1 d=1.09209e-07 t=246674
mo 	模	c=2 d=1 t=193102
mo 	沫	c=1 d=1 t=215616
mo 	磨	c=2 d=1 t=243625
mo 	膜	c=2 d=5.18156e-60 t=246674
mo 	莫	c=0 d=0.1 t=168222
mo 	陌	c=2 d=1.99501 t=244636
mo 	魔	c=1 d=1.91798e-250 t=246674
mo ban 	模板	c=56 d=2.41955e-15 t=246674
mo ban 	魔板	c=0 d=1.23549e-77 t=246674
mo ban fang fa 	魔板方法	c=1 d=1.24168e-76 t=246674
mo bu dao 	摸不到	c=1 d=1 t=242308
mo dao 	魔導	c=5 d=2.63312e-96 t=246674
mo de 	模的	c=1 d=1 t=151223
mo fa 	魔法	c=3 d=4.9405e-68 t=246674
mo fang 	模仿	c=6 d=2.04621e-41 t=246674
mo hu 	模糊	c=4 d=4.43016e-11 t=246674
mo hu dei 	模糊得	c=1 d=1.01098e-99 t=246674
mo jiu 	魔救	c=5 d=1.25805e-83 t=246674
mo ka 	摩卡	c=1 d=1.09087e-82 t=246674
mo kai 	模楷	c=1 d=4.16896e-237 t=246674
mo kuai 	模塊	c=292 d=0.0339786 t=246674
mo kuai hua 	模塊化	c=2 d=2.00807e-47 t=246674
mo kuai li 	模塊裏	c=1 d=1 t=146226
mo kuai nei bu 	模塊內部	c=1 d=1 t=146252
mo kuai shu 	模塊樹	c=3 d=2.35945 t=146728
mo kuai xia 	模塊下	c=2 d=1.15567 t=146589
mo kuai zhong 	模塊中	c=2 d=1.52729 t=146630
mo le 	磨了	c=1 d=1 t=232315
mo leng 	模棱	c=1 d=3.40083e-106 t=246674
mo li 	魔力	c=0 d=2.09758e-69 t=246674
mo li zhi 	魔力值	c=1 d=2.1081e-68 t=246674
mo ming 	莫名	c=5 d=1.42216e-55 t=246674
mo ming qi miao 	莫名其妙	c=1 d=1 t=188440
mo ni 	模擬	c=26 d=5.59121e-06 t=246674
mo ni chu 	模擬出	c=1 d=1 t=153562
mo ni ling pai 	模擬令牌	c=2 d=1.98511 t=169431
mo ni qi 	模擬器	c=8 d=3.22672e-76 t=246674
mo ni tui huo 	模擬退火	c=1 d=3.70984e-41 t=246674
mo ni yan lian 	模擬演練	c=1 d=1 t=197371
mo ni yong hu deng lu shi 	模擬用戶登錄時	c=1 d=1 t=168839
mo ping 	磨平	c=2 d=2.3028e-166 t=246674
mo ren 	默認	c=283 d=0.0193691 t=246674
mo ren de shi xian 	默認的實現	c=1 d=1.72455e-29 t=246674
mo ren qing kuang xia 	默認情況下	c=1 d=1.24714e-10 t=246674
mo ren wei 	默認爲	c=1 d=5.81762e-128 t=246674
mo ren yong hu 	默認用戶	c=1 d=1 t=173459
mo ren zheng he 	默認整合	c=1 d=3.51706e-119 t=246674
mo ren zhi 	默認值	c=4 d=1.27176e-131 t=246674
mo shao 	末梢	c=5 d=0.1 t=193019
mo shao qu 	末梢區	c=1 d=1 t=157413
mo shao qu yu 	末梢區域	c=1 d=1 t=157341
mo shen 	魔神	c=1 d=0.00219278 t=246674
mo sheng 	陌生	c=1 d=1.90316e-247 t=246674
mo sheng ren 	陌生人	c=3 d=1.20931e-106 t=246674
mo shi 	模式	c=361 d=0.825976 t=246674
mo shi bu pi pei 	模式不匹配	c=1 d=1 t=145393
mo shi de 	模式的	c=1 d=1 t=145666
mo shi ku 	模式庫	c=1 d=1 t=182895
mo shi pi pei 	模式匹配	c=0 d=0.1 t=145384
mo shi xia 	模式下	c=1 d=5.94911e-185 t=246674
mo shi xiang bi jiao 	模式相比較	c=1 d=1 t=145384
mo shi zhong 	模式種	c=2 d=1.52274e-06 t=246674
mo shou 	魔獸	c=1 d=1 t=215690
mo shu 	魔術	c=5 d=1.03846e-36 t=246674
mo shu fang fa 	魔術方法	c=1 d=1 t=229676
mo shu shu 	魔術數	c=1 d=1 t=181998
mo shun chang 	莫順暢	c=1 d=1 t=168223
mo suo 	摸索	c=1 d=1 t=216594
mo tuo luo la 	摩托羅拉	c=2 d=1.09644e-260 t=246674
mo wei 	末尾	c=8 d=2.46906e-83 t=246674
mo xing 	模型	c=70 d=0.769118 t=246674
mo xing zhong 	模型中	c=1 d=1.44268e-47 t=246674
mo xiong 	摸胸	c=1 d=7.96604e-296 t=246674
mo ying zhen zhu 	末影珍珠	c=1 d=6.24603e-111 t=246674
mo ying zhi yan 	末影之眼	c=1 d=6.63226e-111 t=246674
mou 	某	c=24 d=1.30117e-09 t=246674
mou 	牟	c=2 d=6.73713e-266 t=246674
mou chu 	某處	c=2 d=1.00002 t=144602
mou ci 	某次	c=1 d=2.40869e-48 t=246674
mou fang fa 	某方法	c=1 d=5.86092e-127 t=246674
mou ge 	某個	c=69 d=0.0732245 t=246674
mou ge dian zi you jian 	某個電子郵件	c=1 d=1 t=191731
mou ge ren 	某個人	c=2 d=1.23365e-176 t=246674
mou ge xin 	某個新	c=1 d=1 t=191724
mou ge zi 	某個字	c=1 d=0.0184997 t=246674
mou gong si 	某公司	c=6 d=1 t=225738
mou guan 	某管	c=1 d=1 t=192099
mou jia 	某家	c=2 d=1.86936 t=166445
mou ren 	某人	c=1 d=1 t=175069
mou shou 	某首	c=1 d=1.33594e-172 t=246674
mou tian 	某天	c=2 d=1 t=185817
mou tiao 	某條	c=1 d=1 t=215483
mou xiang 	某項	c=1 d=1 t=216224
mou xie 	某些	c=32 d=1.06592e-08 t=246674
mou xie bu zhou 	某些步驟	c=1 d=9.47875e-77 t=246674
mou xie lei 	某些類	c=1 d=5.25667e-141 t=246674
mou xing 	某幸	c=2 d=3.6607e-81 t=246674
mou yi 	某一	c=1 d=3.03065e-16 t=246674
mou yi chu 	某一處	c=1 d=1.00755e-59 t=246674
mou yi dian 	某一點	c=1 d=3.04584e-15 t=246674
mou yi ge 	某一個	c=6 d=5.02072e-42 t=246674
mou yi mo shi 	某一模式	c=1 d=1 t=145711
mou zhi 	某隻	c=1 d=4.55843e-82 t=246674
mou zhong 	某種	c=3 d=4.67382e-82 t=246674
mu 	木	c=7 d=2.52831e-30 t=246674
mu 	沐	c=1 d=1 t=215949
mu 	目	c=2 d=2.11513e-19 t=246674
mu biao 	目標	c=84 d=0.000116806 t=246674
mu biao duan kou hao 	目標端口號	c=1 d=1.48945e-40 t=246674
mu biao dui xiang 	目標對象	c=2 d=1.21542e-126 t=246674
mu biao fu wu qi 	目標服務器	c=1 d=3.8518e-71 t=246674
mu biao ji 	目標機	c=5 d=1 t=190878
mu biao shi 	目標是	c=1 d=1 t=207895
mu biao wang duan 	目標網段	c=1 d=1 t=165754
mu biao wen jian 	目標文件	c=2 d=1.92567e-62 t=246674
mu bin 	幕賓	c=1 d=1 t=227410
mu chang di 	木長笛	c=22 d=3.96666e-05 t=246674
mu di 	目的	c=28 d=2.38196e-05 t=246674
mu di di 	目的地	c=1 d=1 t=154560
mu di shi 	目的是	c=4 d=5.02003e-11 t=246674
mu gou 	母狗	c=3 d=1.39764e-21 t=246674
mu guang 	目光	c=1 d=1 t=195622
mu he 	木盒	c=1 d=3.03077e-133 t=246674
mu ku 	木庫	c=1 d=1 t=180437
mu lu 	目錄	c=138 d=9.12348e-10 t=246674
mu lu cun zai 	目錄存在	c=2 d=1.43484e-34 t=246674
mu lu xia 	目錄下	c=4 d=2.81023e-09 t=246674
mu lu xin xi 	目錄信息	c=1 d=1 t=150970
mu ma 	木馬	c=51 d=1 t=240145
mu ma de 	木馬的	c=1 d=1 t=180435
mu ma shi 	木馬時	c=1 d=1 t=200557
mu qian 	目前	c=144 d=0.941202 t=246674
mu qian mei you 	目前沒有	c=1 d=3.49368e-70 t=246674
mu qian shi 	目前是	c=1 d=1.17403e-64 t=246674
mu qiao 	木橋	c=0 d=7.31133e-53 t=246674
mu qin 	母親	c=5 d=3.58785e-30 t=246674
mu ru 	母乳	c=2 d=1.05665e-199 t=246674
mu shao di 	木哨笛	c=1 d=6.16856e-170 t=246674
mu tou 	木頭	c=2 d=1.43768e-65 t=246674
mu yuan 	墓園	c=1 d=8.23682e-160 t=246674
mu zhi 	木質	c=3 d=4.14661e-169 t=246674
mu zi 	母子	c=1 d=2.28445e-72 t=246674
na 	哪	c=45 d=4.25414e-34 t=246674
na 	拿	c=72 d=0.0219278 t=246674
na 	那	c=327 d=0.0859549 t=246674
na ba ta 	那把他	c=1 d=1.70712e-174 t=246674
na ba tang 	那把糖	c=1 d=4.07837e-302 t=246674
na ban 	哪班	c=1 d=1.26954e-278 t=246674
na ban 	那班	c=1 d=1.78734e-273 t=246674
na bang 	那幫	c=1 d=2.39614e-251 t=246674
na bei 	哪輩	c=1 d=5.31747e-188 t=246674
na ben 	那本	c=3 d=1.43754e-152 t=246674
na bi 	哪筆	c=1 d=3.38009e-181 t=246674
na bi bu ke neng 	那必不可能	c=1 d=3.10073e-78 t=246674
na bi ran 	那必然	c=1 d=2.97905e-107 t=246674
na bian 	那邊	c=57 d=0.339637 t=246674
na bu 	那不	c=8 d=1.28355e-25 t=246674
na bu 	那步	c=1 d=2.18386e-101 t=246674
na bu dao 	拿不到	c=1 d=1 t=200182
na bu de 	那不得	c=1 d=1 t=218789
na bu fen 	那部分	c=1 d=8.13302e-246 t=246674
na bu gai 	那不改	c=1 d=6.25621e-42 t=246674
na bu jiu 	那不就	c=5 d=6.02382e-126 t=246674
na bu jiu dui le 	那不就對了	c=1 d=1.52468e-256 t=246674
na bu jiu shi 	那不就是	c=1 d=7.57262e-259 t=246674
na bu qing chu 	那不清楚	c=1 d=1.29866e-45 t=246674
